,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC,^DJI,^GSPC,^IXIC
Date,,,,,,,,,,,,,,,,,,
2018-03-16,24946.509765625,2752.010009765625,7481.990234375,24946.509765625,2752.010009765625,7481.990234375,25031.0,2761.85009765625,7514.2099609375,24857.08984375,2749.969970703125,7473.68017578125,24877.33984375,2750.570068359375,7504.3701171875,654240000,5429140000,3089970000
2018-03-19,24610.91015625,2712.919921875,7344.240234375,24610.91015625,2712.919921875,7344.240234375,24893.689453125,2741.3798828125,7421.22998046875,24453.140625,2694.590087890625,7285.27001953125,24893.689453125,2741.3798828125,7419.2001953125,377990000,3327460000,2352810000
2018-03-20,24727.26953125,2716.93994140625,7364.2998046875,24727.26953125,2716.93994140625,7364.2998046875,24803.609375,2724.219970703125,7380.740234375,24650.640625,2710.050048828125,7331.240234375,24650.640625,2715.050048828125,7353.25,342510000,3272590000,1976000000
2018-03-21,24682.310546875,2711.929931640625,7345.2900390625,24682.310546875,2711.929931640625,7345.2900390625,24977.650390625,2739.139892578125,7415.66015625,24655.400390625,2709.7900390625,7325.35009765625,24723.490234375,2714.989990234375,7347.5,343230000,3434780000,1999230000
2018-03-22,23957.890625,2643.68994140625,7166.68017578125,23957.890625,2643.68994140625,7166.68017578125,24526.009765625,2695.679931640625,7303.18994140625,23938.740234375,2641.590087890625,7164.3798828125,24526.009765625,2691.360107421875,7257.5498046875,439280000,3765460000,2370970000
2018-03-23,23533.19921875,2588.260009765625,6992.669921875,23533.19921875,2588.260009765625,6992.669921875,24108.470703125,2657.669921875,7194.31005859375,23509.060546875,2585.889892578125,6992.669921875,23995.1796875,2646.7099609375,7170.68017578125,482550000,3829380000,2455760000
2018-03-26,24202.599609375,2658.550048828125,7220.5400390625,24202.599609375,2658.550048828125,7220.5400390625,24232.30078125,2661.360107421875,7225.830078125,23741.220703125,2601.81005859375,7022.33984375,23825.740234375,2619.35009765625,7125.2001953125,479540000,3538080000,2341370000
2018-03-27,23857.7109375,2612.6201171875,7008.81005859375,23857.7109375,2612.6201171875,7008.81005859375,24446.220703125,2674.780029296875,7255.5400390625,23708.73046875,2596.1201171875,6963.68017578125,24276.619140625,2667.570068359375,7255.47021484375,524480000,3761320000,2347480000
2018-03-28,23848.419921875,2605.0,6949.22998046875,23848.419921875,2605.0,6949.22998046875,24092.470703125,2632.64990234375,7036.08984375,23728.669921875,2593.06005859375,6901.06982421875,23883.080078125,2611.300048828125,6978.2998046875,530040000,3875720000,2551950000
2018-03-29,24103.109375,2640.8701171875,7063.4501953125,24103.109375,2640.8701171875,7063.4501953125,24314.30078125,2659.070068359375,7120.4599609375,23928.130859375,2609.719970703125,6935.77978515625,23949.1796875,2614.409912109375,6984.66015625,463550000,3572360000,2593390000
2018-04-02,23644.189453125,2581.8798828125,6870.1201171875,23644.189453125,2581.8798828125,6870.1201171875,24123.80078125,2638.300048828125,7044.7099609375,23344.51953125,2553.800048828125,6805.9599609375,24076.599609375,2633.449951171875,7016.169921875,509820000,3635780000,2402670000
2018-04-03,24033.359375,2614.449951171875,6941.27978515625,24033.359375,2614.449951171875,6941.27978515625,24044.349609375,2619.139892578125,6963.7099609375,23664.330078125,2575.489990234375,6835.22998046875,23698.330078125,2592.169921875,6924.35009765625,394130000,3395840000,2330900000
